region_un,decade,quintile,mean_value
Asia,1980s,q1,7.322598868312758
Asia,1980s,q2,11.790859318048208
Asia,1980s,q3,15.995100676072898
Asia,1980s,q4,21.92051244855967
Asia,1980s,q5,43.24020663580247
Asia,1990s,q1,6.401285236209869
Asia,1990s,q2,11.003103761764029
Asia,1990s,q3,15.274884502650128
Asia,1990s,q4,21.561848169737008
Asia,1990s,q5,45.848680697945845
Asia,2000s,q1,7.046301409172777
Asia,2000s,q2,11.474237014789923
Asia,2000s,q3,15.750547412028043
Asia,2000s,q4,21.986556803004422
Asia,2000s,q5,43.76352261353813
Asia,2010s,q1,7.245659720277842
Asia,2010s,q2,11.68602116928635
Asia,2010s,q3,16.003557509882416
Asia,2010s,q4,22.111532072273786
Asia,2010s,q5,42.93135854835088
Asia,NA,q1,7.055895023148148
Asia,NA,q2,11.394416506179006
Asia,NA,q3,15.69509906043031
Asia,NA,q4,21.977866209253712
Asia,NA,q5,43.91203606659544
